City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kruisfontein,-34.0033,24.7314,48.18,78,20,4.03,ZA,1698628777
83,wuwei,37.9281,102.6414,54.63,27,0,5.64,CN,1698628965
84,weno,7.4515,151.8468,82.69,78,96,11.36,FM,1698628965
85,maragogi,-9.0122,-35.2225,76.06,75,100,11.39,BR,1698628966
86,fortuna,40.5982,-124.1573,61.14,55,0,0.0,US,1698628758
87,puerto deseado,-47.7503,-65.8938,42.44,63,100,16.75,AR,1698628966
88,vorgashor,67.5833,63.95,-0.87,98,33,4.94,RU,1698628966
89,dunedin,-45.8742,170.5036,59.81,69,8,7.0,NZ,1698628966
90,minas de marcona,-15.2119,-75.1103,59.49,85,58,12.57,PE,1698628966
91,aliveri,38.4167,24.0333,67.14,81,0,5.19,GR,1698628966
92,kamwenge,0.1866,30.4539,60.53,98,38,0.43,UG,1698628966
93,mili,6.0815,171.735,83.28,78,32,13.4,MH,1698628967
94,vilyuchinsk,52.9306,158.4028,38.93,80,100,5.84,RU,1698628967
95,moyale,3.5167,39.0584,68.52,80,100,5.23,KE,1698628967
96,kuta,-8.7233,115.1723,85.95,70,20,4.61,ID,1698628967
97,kone,-21.0595,164.8658,79.03,41,0,9.35,NC,1698628967
98,klyuchi,52.2667,79.1667,31.57,94,100,6.64,RU,1698628967
99,boende,-0.2167,20.8667,73.24,83,98,1.01,CD,1698628968
100,itoman,26.1247,127.6694,81.37,57,20,11.5,JP,1698628968
101,nelson bay,-32.7167,152.15,84.25,53,5,15.01,AU,1698628968
102,stanley,54.868,-1.6985,45.72,95,75,8.05,GB,1698628968
103,udachny,66.4167,112.4,-6.56,76,95,4.32,RU,1698628968
104,hallstahammar,59.6139,16.2285,35.29,85,100,9.48,SE,1698628968
105,toliara,-23.35,43.6667,72.09,78,76,5.55,MG,1698628969
106,mabaruma,8.2,-59.7833,75.06,96,86,2.51,GY,1698628969
107,okha,53.5739,142.9478,40.17,76,89,10.02,RU,1698628969
108,es castell,39.8795,4.2854,66.88,94,40,6.91,ES,1698628969
109,dryden,49.7833,-92.7503,21.49,93,100,8.05,CA,1698628969
110,isafjordur,66.0755,-23.124,33.84,80,17,3.27,IS,1698628969
111,kita,13.0349,-9.4895,75.54,72,44,2.53,ML,1698628969
112,xinxiang,35.3089,113.8672,71.08,35,2,2.71,CN,1698628969
113,constantia,44.1833,28.65,56.08,70,0,7.45,RO,1698628970
114,saipan,15.1355,145.701,88.5,74,20,12.66,MP,1698628970
115,hamilton,39.1834,-84.5333,56.89,96,100,4.61,US,1698628970
116,vancleave,30.5405,-88.6875,75.38,95,20,0.0,US,1698628708
117,urucara,-2.5364,-57.76,90.41,35,94,2.39,BR,1698628970
118,cabo san lucas,22.8909,-109.9124,80.62,72,0,11.5,MX,1698628828
119,novoderevyankovskaya,46.3231,38.7472,53.2,68,0,4.0,RU,1698628970
120,orchha,25.35,78.65,69.06,44,73,4.97,IN,1698628971
121,east london,-33.0153,27.9116,57.63,65,78,11.99,ZA,1698628971
122,upi,7.0258,124.1667,78.19,76,16,1.16,PH,1698628971
123,lorengau,-2.0226,147.2712,78.03,89,100,7.4,PG,1698628971
124,carthage,36.8611,10.3316,76.53,65,20,10.36,TN,1698628971
125,taroa,8.7058,171.2275,83.08,81,100,20.49,MH,1698628878
126,saint-joseph,-21.3667,55.6167,73.78,84,25,10.89,RE,1698628971
127,maceio,-9.6658,-35.7353,76.44,88,40,5.75,BR,1698628972
128,aasiaat,68.7098,-52.8699,23.79,76,100,6.31,GL,1698628972
129,kirovo-chepetsk,58.5539,50.0399,26.89,77,100,4.94,RU,1698628972
130,pestravka,52.405,49.9583,37.53,77,100,18.54,RU,1698628972
131,palikir - national government center,6.9248,158.1611,79.65,89,100,5.75,FM,1698628972
132,sugarcreek,41.4215,-79.8812,50.88,98,100,0.0,US,1698628972
133,yellowknife,62.456,-114.3525,19.42,97,20,0.0,CA,1698628972
134,novoaleksandrovsk,45.4948,41.2207,55.2,58,0,2.39,RU,1698628973
135,polyarnyy,69.1989,33.4478,20.46,93,100,6.62,RU,1698628973
136,mafinga,-7.25,35.0667,72.64,55,40,3.09,TZ,1698628973
137,skeldon,5.8833,-57.1333,81.59,85,53,9.19,GY,1698628973
138,fort st. john,56.2499,-120.8529,30.09,69,75,3.44,CA,1698628973
